"CODE","PT","RELATIONSHIP_TO_TARGET","TARGET_CODE","TARGET_TERM","TARGET_TERM_TYPE","TARGET_TERMINOLOGY","TARGET_TERMINOLOGY_VERSION"
"C17998","Unknown","Has Synonym","variant_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","test_result","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","disease_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ann_arbor_clinical_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","distance_normal_to_tumor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","prior_malignancy","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","esophageal_columnar_metaplasia_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","esophageal_columnar_dysplasia_degree","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","gene_symbol","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","environmental_tobacco_smoke_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","haart_treatment_indicator","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","imaging_result","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","respirable_crystalline_silica_exposure","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_pathologic_t","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","residual_disease","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_effect","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","micropapillary_features","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","alcohol_intensity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","comorbidity","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","chemo_concurrent_to_radiation","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_or_therapy","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","biospecimen_laterality","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","variant_origin","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tumor_focality","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ishak_fibrosis_score","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","figo_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","viral_hepatitis_serologies","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","morphology","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relationship_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","margin_status","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","progression_or_recurrence","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","vascular_invasion_present","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","supratentorial_localization","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","risk_factor","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","tissue_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_type","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","hepatitis_sustained_virological_response","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","ajcc_staging_system_edition","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","irs_stage","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","relative_with_cancer_history","unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","synchronous_malignancy","Unknown","PT","GDC","N/A"
"C17998","Unknown","Has Synonym","treatment_outcome","Unknown","PT","GDC","N/A"
